state,anchor_id,existing_ccss_id,verdict,confidence,recommended_ccss_id,rationale
AL,K.DA.15,K.MD.B.3,confirmed,99.0,K.MD.B.3,"The lesson overlap is perfect (1.0, all 8 lessons shared), and the state standard text is nearly identical to K.MD.B.3, differing only by the addition of 'of 10 or fewer' as a minor constraint. All evidence strongly supports this tag."
ND,K.NO.CC.1,K.CC.A.1,confirmed,90.0,K.CC.A.1,"K.CC.A.1 has the highest lesson overlap at 54.55% (12 of 13 lessons shared), ranking first among all candidates, and the state standard's text directly maps to counting to 100 by ones and tens. The additional tag K.CC.A.2 appropriately captures the 'count forward from any given number' portion, making this a legitimate many-to-one alignment."
AZ,3.OA.C.7,3.OA.C.7,confirmed,98.0,3.OA.C.7,"The lesson overlap of 91.67% (11 of 11 state lessons shared) is extremely strong, and 3.OA.C.7 ranks first among all candidates with no close competitors. The state standard text is essentially identical in content to the CCSS standard, covering fluent multiplication and division within 100 and memorization of products."
AK,8.EE.8.b,8.EE.C.8.b,confirmed,99.0,8.EE.C.8.b,"The lesson overlap is perfect (1.0, all 13 lessons shared), and the state standard text is nearly identical to 8.EE.C.8.b, with the highest embedding similarity score (0.825) among all candidates. Both signals strongly confirm this tag."
ND,5.AR.OA.5,5.OA.B.3,confirmed,99.0,5.OA.B.3,"The lesson overlap is perfect (1.0, with all 5 lessons shared), and the state standard text directly mirrors 5.OA.B.3's content about generating two numerical patterns, forming ordered pairs, and graphing on a coordinate plane. The embedding similarity score of 0.855 further confirms the strong textual alignment."
KS,2.MD.2,2.MD.A.2,confirmed,99.0,2.MD.A.2,"The text of the state standard is identical to 2.MD.A.2, and the lesson overlap is perfect (1.0), with 100% of lessons shared. This is the strongest possible evidence for a correct alignment."
AL,3.OA.3,3.OA.A.3,confirmed,99.0,3.OA.A.3,"The lesson overlap is perfect (1.0, all 13 lessons shared), and the state standard text is nearly identical to 3.OA.A.3, covering the same content (multiplication and division within 100, equal groups, arrays, measurement quantities, drawings and equations with unknown symbol). No other candidate comes close in either lesson overlap or textual similarity."
OH,4.OA.4,4.OA.B.4,confirmed,99.0,4.OA.B.4,"The lesson overlap is perfect (1.0, all 5 lessons shared), the standard text is virtually identical word-for-word, and 4.OA.B.4 ranks first among candidates with the highest embedding similarity (0.874). All evidence strongly supports this tag."
MO,5.RA.A.1.a,5.OA.B.3,confirmed,97.0,5.OA.B.3,"The lesson overlap is perfect (1.0, all 5 lessons shared), and the state standard text 'Generate two numeric patterns given two rules' is a direct subset of 5.OA.B.3's content, which begins with exactly that task. No other candidate comes close on lesson overlap."
IN,1.DA.1,1.MD.C.4,confirmed,92.0,1.MD.C.4,"The lesson overlap is perfect (1.0, with all 6 lessons shared), which is the strongest signal and strongly confirms this tag. While 1.MD.C.4 does not appear in the top-5 similarity candidates (likely due to surface-level text differences), the complete lesson overlap between the Indiana standard and 1.MD.C.4 clearly indicates these standards address the same curriculum content — organizing and interpreting data at the grade 1 level."
AL,7.DSP.14.b,7.SP.C.7,likely_correct,62.0,7.SP.C.7.b,"The text of 7.SP.C.7 is nearly identical to the state standard and ranks #1 in semantic similarity (0.753), but it has 0% lesson overlap. Meanwhile, 7.SP.C.7.b has 50% lesson overlap (the strongest curriculum signal), and its text specifically addresses developing a model by observing frequencies and comparing to expected outcomes — closely related content. The lesson overlap evidence favors 7.SP.C.7.b as the better match, though the text match for 7.SP.C.7 is compelling."
IN,6.GM.3,6.G.A.1,confirmed,99.0,6.G.A.1,"The lesson overlap is perfect (1.0, with all 8 lessons shared), and the text of both standards describes the same core concept — finding area of polygons by composing/decomposing into simpler shapes and applying to real-world problems. No other candidate comes close in lesson overlap."
AK,4.NF.4.b,4.NF.B.4.b,confirmed,99.0,4.NF.B.4.b,"The lesson overlap is perfect (1.0) with all 3 state lessons matching all 3 CCSS lessons, and the state standard text is essentially identical to 4.NF.B.4.b. No other candidate shows any lesson overlap."
OH,5.NBT.6,5.NBT.B.6,confirmed,99.0,5.NBT.B.6,"The state standard text is virtually identical to 5.NBT.B.6, and the lesson overlap is perfect (1.0) with all 5 lessons shared, making this an unambiguous match. No other candidate comes close in either text similarity or lesson overlap."
SC,3.MGSR.1.1,3.MD.C.5,likely_correct,72.0,3.MD.C.5,"The lesson overlap of 0.75 (6 of 8 lessons shared) is strong evidence that 3.MD.C.5 aligns well with this state standard, even though it doesn't appear in the top-5 similarity candidates. The state standard describes covering space with square units and counting them, which maps to both the conceptual understanding of area (3.MD.C.5) and the counting-units approach (3.MD.C.6); both tags together form a reasonable pairing, and 3.MD.C.5's high lesson overlap supports retaining it alongside the existing 3.MD.C.6 tag."
SC,4.PAFR.1.4,4.NBT.B.6,confirmed,99.0,4.NBT.B.6,"The lesson overlap is perfect (1.0, with all 15 lessons shared), and the textual content of both standards is nearly identical — both describe dividing up to four-digit dividends by one-digit divisors with remainders and requiring justification/explanation of the strategy. No other candidate comes close in lesson overlap."
AL,1.M.17,1.MD.A.1,confirmed,99.0,1.MD.A.1,"The state standard text is identical to 1.MD.A.1, and the lesson overlap is perfect (1.0) with all 5 lessons shared, leaving no ambiguity about the correct alignment."
AZ,6.NS.C.8,6.NS.C.8,confirmed,99.0,6.NS.C.8,"The tag has a perfect lesson overlap of 1.0 (all 5 lessons shared) and the highest embedding similarity score (0.87) among candidates. The state standard text is nearly identical to the CCSS 6.NS.C.8 text, making this an unambiguous match."
KS,8.F.2,8.F.A.2,confirmed,99.0,8.F.A.2,"The lesson overlap is perfect (1.0, with all 2 state lessons matching all 2 CCSS lessons), and the state standard text is nearly identical to 8.F.A.2, which specifically references linear functions matching the KS standard's explicit focus on linear functions."
MS,3.OA.3,3.OA.A.3,confirmed,99.0,3.OA.A.3,"The state standard text is virtually identical to CCSS 3.OA.A.3, and the lesson overlap is perfect at 1.0 (all 13 lessons shared), providing overwhelming evidence that this tag is correct."
AR,6.SP.1,6.SP.A.1,confirmed,99.0,6.SP.A.1,"The lesson overlap is perfect (1.0), with all 3 lessons shared between the state standard and 6.SP.A.1, and the state standard text directly mirrors the CCSS content about distinguishing statistical from non-statistical questions based on variability. This is the rank-1 candidate with the highest embedding similarity as well."
CO,7.RP.A.2.c,7.RP.A.2.c,confirmed,99.0,7.RP.A.2.c,"The lesson overlap is perfect (1.0, with all 10 state lessons matching all 10 CCSS lessons), and the state standard text is essentially identical to the CCSS 7.RP.A.2.c text. This is an unambiguous match."
MA,8.F.B.4,8.F.B.4,confirmed,99.0,8.F.B.4,"The tag shows perfect lesson overlap (1.0) with all 3 lessons shared between the state standard and CCSS 8.F.B.4, and the text of the state standard is virtually identical to the CCSS standard text, reflected in the highest embedding similarity score (0.82) among all candidates. All evidence strongly supports this tag."
CO,2.NBT.B.9,2.NBT.B.9,confirmed,99.0,2.NBT.B.9,"The tag shows perfect lesson overlap (1.0) with all 10 lessons shared between the state standard and 2.NBT.B.9, and the embedding similarity is very high (0.867). The state standard text is essentially identical to the CCSS standard text, and no other candidate comes close in lesson overlap."
LA,8.NS.A.1,8.NS.A.1,confirmed,99.0,8.NS.A.1,"The lesson overlap is perfect (1.0, with all 3 lessons shared), and the state standard text is nearly identical to the CCSS 8.NS.A.1 text, with the only difference being the state standard adds 'by analyzing repeating patterns' as a clarification. This is clearly the correct alignment."
SC,5.PAFR.3.4,5.OA.A.2,likely_correct,72.0,5.OA.A.2,"The lesson overlap for 5.OA.A.2 is very high (0.7273, 8 of 9 lessons shared), strongly suggesting curriculum alignment despite not appearing in the top-5 similarity candidates. The state standard's focus on translating real-world situations into numerical expressions with parentheses maps well to 5.OA.A.2's emphasis on writing expressions that record calculations, and the existing tag 5.OA.A.1 (which covers evaluating expressions with grouping symbols) already handles the evaluation aspect, making this a reasonable complementary pairing."
AK,3.NF.3.d,3.NF.A.3.d,confirmed,99.0,3.NF.A.3.d,"The lesson overlap is perfect (1.0, all 7 lessons shared), the state standard text is virtually identical to 3.NF.A.3.d, and it ranks first among all candidates with the highest embedding similarity score. All evidence unanimously supports this tag."
AK,4.NF.4.a,4.NF.B.4.a,confirmed,99.0,4.NF.B.4.a,"The lesson overlap is perfect (1.0) with 100% of lessons shared between the state standard and 4.NF.B.4.a, and the state standard text 'Understand a fraction as a multiple of' directly matches the CCSS 4.NF.B.4.a text 'Understand a fraction a/b as a multiple of 1/b.' No other candidate has any lesson overlap."
ND,4.GM.M.5,4.MD.A.3,confirmed,99.0,4.MD.A.3,"The lesson overlap is perfect (1.0) with all 5 lessons shared between the state standard and 4.MD.A.3, and the text of both standards is nearly identical in content (area and perimeter formulas for rectangles in real-world problems). No other candidate comes close in lesson overlap."
AK,8.G.1,8.G.A.1,likely_correct,62.0,8.G.A.1,"The text of AK 8.G.1 is nearly identical to CCSS 8.G.A.1, with both describing experimental verification of rotation, reflection, and translation properties, giving strong semantic alignment (0.769 embedding score, rank 1). However, the lesson overlap is 0.0 (CCSS 8.G.A.1 has no lessons mapped in the EM2 data), which prevents confirmation — though this appears to be a data gap in the CCSS side rather than evidence of a mismatch."
AK,2.MD.8,2.MD.C.8,confirmed,99.0,2.MD.C.8,"The lesson overlap is perfect (1.0) with all 7 lessons shared between the state standard and 2.MD.C.8, and the embedding similarity is high (0.84). The state standard text is essentially identical to the CCSS standard, differing only in minor wording."
MA,3.MD.C.5,3.MD.C.5,confirmed,99.0,3.MD.C.5,"The tag shows perfect lesson overlap (1.0, all 6 lessons shared) and the highest embedding similarity (0.821) among all candidates, with identical standard text between the state standard and CCSS 3.MD.C.5. This is unambiguously the correct alignment."
SC,6.PAFR.2.2,6.EE.A.1,confirmed,99.0,6.EE.A.1,"The tag has perfect lesson overlap (1.0, with all 5 lessons shared), the highest embedding similarity among candidates (0.731), and the state standard text is nearly identical in meaning to 6.EE.A.1. All evidence strongly supports this tag."
NJ,7.NS.A.1c,7.NS.A.1.c,confirmed,99.0,7.NS.A.1.c,"The tag has a perfect lesson overlap of 1.0 (all 5 state lessons match all 5 CCSS lessons), ranks #1 among candidates, and the standard text is virtually identical word-for-word, with an embedding similarity of 0.857578. All evidence strongly confirms this tag."
SC,6.PAFR.1.1,6.EE.C.9,confirmed,97.0,6.EE.C.9,"The lesson overlap is perfect (1.0) with all 4 state lessons matching all 4 CCSS lessons, and the content of both standards is nearly identical — both address representing relationships between independent and dependent variables using tables, graphs, and equations. This is the top-ranked candidate by both lesson overlap and embedding similarity."
MO,K.RA.A.3,K.OA.A.3,confirmed,99.0,K.OA.A.3,"The lesson overlap is perfect (1.0, with all 5 lessons shared), and the state standard text is nearly identical to K.OA.A.3's text. No other candidate comes close in either lesson overlap or semantic similarity."
SC,5.PAFR.2.2,5.NF.B.4.a,confirmed,72.0,5.NF.B.4.a,"5.NF.B.4.a has the highest lesson overlap (0.4091, with 9 shared lessons) among all tags evaluated for this standard, and its content — interpreting and computing products of fractions by fractions and fractions by whole numbers — directly matches the SC standard's requirement to multiply a fraction by a fraction or by a whole number in real-world situations. Although it doesn't appear in the top-5 similarity candidates, the lesson overlap is the strongest signal and clearly supports this tag."
IN,4.CA.7,4.NF.B.3.c,confirmed,99.0,4.NF.B.3.c,"The lesson overlap is perfect (1.0, all 5 lessons shared), the text of the state standard and CCSS standard are nearly identical, and the embedding similarity is high (0.817). All evidence strongly supports this tag."
MO,3.RA.A.2,3.OA.A.2,confirmed,99.0,3.OA.A.2,"The lesson overlap is perfect (1.0, with all 10 lessons shared), and the textual content of MO 3.RA.A.2 directly matches 3.OA.A.2's focus on interpreting whole-number quotients. No other candidate comes close in lesson overlap."
IA,7.G.A.1,7.G.A.1,confirmed,99.0,7.G.A.1,"The state standard text is identical to CCSS 7.G.A.1, and the lesson overlap is perfect (1.0) with all 8 lessons shared, making this an unambiguous match with no competing candidates."
AL,7.DSP.12,7.SP.B.4,confirmed,99.0,7.SP.B.4,"The lesson overlap is perfect (1.0, with all 3 lessons shared), and the embedding similarity is high at 0.839, making 7.SP.B.4 the clear and dominant match. The state standard text directly mirrors the CCSS language about informal comparative inferences using measures of center and variability for two populations."
OH,7.RP.2d,7.RP.A.2.d,confirmed,99.0,7.RP.A.2.d,"The state standard text is identical to the CCSS 7.RP.A.2.d text, and the lesson overlap is perfect (1.0) with all 3 lessons shared, making this an unambiguous match with the strongest possible evidence."
RI,8.F.A.2,8.F.A.2,confirmed,99.0,8.F.A.2,"The lesson overlap is perfect (1.0, with all 2 lessons shared), and the state standard text is essentially identical to 8.F.A.2. The top candidate by embedding similarity (HSF.IF.C.9) has zero lesson overlap, confirming the grade 8 standard is the correct match."
SC,K.NR.2.3,K.CC.B.4.c,likely_incorrect,72.0,K.CC.B.4.b,"The state standard K.NR.2.3 emphasizes counting objects, writing numerals, and conservation of number (stating count without recounting after rearrangement), which aligns most closely with K.CC.B.4.b ('the number of objects is the same regardless of their arrangement') and K.CC.B.5. K.CC.B.4.c (the tag being evaluated) is about each successive number being one larger — a successor/cardinality concept not addressed in this standard — and has low lesson overlap (0.1923) and does not appear in the top-5 candidates. K.CC.B.4.b has stronger lesson overlap (0.2593) and directly captures the rearrangement/conservation aspect, making it a better fit than K.CC.B.4.c."
AR,3.GM.8,3.MD.A.2,confirmed,99.0,3.MD.A.2,"The lesson overlap is perfect (1.0) with all 7 lessons shared between the state standard and 3.MD.A.2, and the state standard text is nearly identical to 3.MD.A.2's text. No other candidate comes close in either lesson overlap or semantic similarity."
AR,K.NPV.6,K.NBT.A.1,confirmed,97.0,K.NBT.A.1,"The lesson overlap is perfect (1.0) with all 10 lessons shared between the state standard and K.NBT.A.1, and K.NBT.A.1 ranks first in similarity. Both standards address decomposing numbers into tens and ones using objects or drawings, making this an extremely strong match."
KS,3.NF.2a,3.NF.A.2.a,confirmed,99.0,3.NF.A.2.a,"The lesson overlap is perfect (1.0, with all 3 lessons shared), the text is nearly identical to the state standard, and it ranks first among all candidates. All evidence strongly supports this tag."
NJ,6.EE.B.7,6.EE.B.7,confirmed,99.0,6.EE.B.7,"The tag has a perfect lesson overlap of 1.0 (all 5 lessons shared), ranks first among candidates, and the state standard text is essentially identical to the CCSS standard text, leaving no ambiguity about the correct alignment."
RI,6.NS.C.7.b,6.NS.C.7.b,confirmed,99.0,6.NS.C.7.b,"The tag shows perfect lesson overlap (1.0) with all 2 state lessons matching all 2 CCSS lessons, and the state standard text is nearly identical to the CCSS standard text, with the highest embedding similarity score (0.762) among all candidates. Every signal strongly supports this tag."
NJ,6.NS.B.3,6.NS.B.3,confirmed,99.0,6.NS.B.3,"The lesson overlap is perfect (1.0, with all 7 lessons shared), and the state standard text is virtually identical to the CCSS 6.NS.B.3 text, differing only in the substitution of 'With accuracy and efficiency' for 'Fluently.' No other candidate comes close."
LA,K.CC.B.4.c,K.CC.B.4.c,confirmed,99.0,K.CC.B.4.c,"The tag shows perfect lesson overlap (1.0, with all 11 lessons shared) and the state standard text is identical to the CCSS text, making this an unambiguous match. No other candidate comes close in lesson overlap or semantic similarity."
AR,6.PR.5,6.RP.A.3.c,confirmed,99.0,6.RP.A.3.c,"The tag shows perfect lesson overlap (1.0, all 5 lessons shared) and the highest embedding similarity (0.847) among all candidates, and the state standard text is nearly identical to 6.RP.A.3.c. All evidence strongly supports this alignment."
KS,8.EE.3,8.EE.A.4,confirmed,97.0,8.EE.A.4,"The lesson overlap is perfect (1.0, all 6 lessons shared), and the CCSS standard text is nearly identical to the state standard text, with only minor wording differences ('Perform operations' vs. 'Read and write'). Both signals strongly confirm this tag."
ND,2.NO.NF.3,2.G.A.3,confirmed,88.0,2.G.A.3,"The tag 2.G.A.3 ranks first in both lesson overlap (66.67%, 6 of 9 lessons shared) and embedding similarity (0.685), making it the strongest candidate by far. The state standard's concept of 'partitioning shapes into more equal shares creates smaller shares' is directly captured in 2.G.A.3's content on partitioning shapes into equal shares, and notably 1.G.A.3 contains nearly identical language but has zero lesson overlap, further confirming 2.G.A.3 as the correct match."
AZ,8.EE.C.7a,8.EE.C.7.a,confirmed,99.0,8.EE.C.7.a,"The lesson overlap is 1.0 (all 4 lessons shared), the text is nearly identical, and this candidate ranks first in similarity — all evidence strongly confirms this tag is correct."
SD,1.NBT.C.6,1.NBT.C.6,confirmed,99.0,1.NBT.C.6,"The tag has a perfect lesson overlap of 1.0 (all 4 lessons shared), ranks #1 in similarity candidates, and the state standard text is essentially identical to the CCSS standard text, making this an unambiguous match."
MO,6.EEI.A.2.d,6.EE.A.2.c,confirmed,97.0,6.EE.A.2.c,"The lesson overlap is perfect (1.0 — all 10 lessons shared), which is the strongest possible signal. The state standard's focus on writing and evaluating algebraic expressions aligns well with 6.EE.A.2.c's focus on evaluating expressions, and no other candidate comes close in lesson overlap."
AL,3.M.23,3.MD.C.7.d,confirmed,99.0,3.MD.C.7.d,"The lesson overlap is perfect (1.0, all 7 lessons shared), and the standard texts describe identical content — decomposing rectilinear figures into rectangles to find area. This is the clear and unambiguous match."
AK,K.CC.5,K.CC.B.5,confirmed,99.0,K.CC.B.5,"The state standard text is virtually identical to K.CC.B.5, and the lesson overlap is perfect (1.0) with all 21 lessons shared, providing overwhelming evidence that this tag is correct."
MO,2.RA.B.2.a,2.OA.C.3,,,,"Unparseable response: Looking at this carefully:

The state standard 2.RA.B.2.a is about ""Count by 2s to 100 starting with any even number"" - this is skip counting by 2s.

The tag being evaluated is 2.OA.C.3, which is abou"
ND,3.NO.NBT.2,3.NBT.A.1,confirmed,99.0,3.NBT.A.1,"The tag has perfect lesson overlap (1.0, all 5 lessons shared) and the highest embedding similarity (0.84) among all candidates. The state standard text is nearly identical to the CCSS text, differing only in 'Apply' vs 'Use'."
MO,7.GM.B.6.b,7.G.B.6,confirmed,85.0,7.G.B.6,"The lesson overlap of 0.75 (9 of 12 lessons shared) is strong evidence that 7.G.B.6 is the correct match, and it ranks 2nd in embedding similarity among candidates. While the MO standard explicitly mentions cylinders (which 7.G.B.6 doesn't list), the high lesson overlap indicates the curriculum treats these standards as essentially equivalent in practice."
IN,4.M.3,4.MD.A.2,confirmed,99.0,4.MD.A.2,"The lesson overlap is perfect (1.0, with all 13 lessons shared), and the state standard text is nearly identical to 4.MD.A.2. No other candidate comes close in either lesson overlap or semantic similarity."
RI,4.NF.C.7,4.NF.C.7,confirmed,99.0,4.NF.C.7,"The tag shows a perfect lesson overlap of 1.0 (all 3 lessons shared), the state standard text is essentially identical to the CCSS text, and it ranks #1 in embedding similarity at 0.873. All evidence strongly supports this tag."
MA,6.NS.C.7.c,6.NS.C.7.c,confirmed,99.0,6.NS.C.7.c,"The tag shows perfect lesson overlap (1.0) with all shared lessons aligning, the highest embedding similarity score (0.827) among candidates, and ranks first in the top-5 list. The state standard text is nearly identical to the CCSS standard text, making this an unambiguous match."
